,SCORE:,total_score,atom_pair_constraint,cart_bonded,dslf_fa13,fa_atr,fa_dun,fa_elec,fa_intra_rep,fa_intra_sol_xover4,fa_rep,fa_sol,hbond_bb_sc,hbond_lr_bb,hbond_sc,hbond_sr_bb,lk_ball_wtd,omega,p_aa_pp,rama_prepro,ref,yhh_planarity,description,id
9,SCORE:,15876.568000000001,16995.523999999998,267.536,-1.133,-2920.401,618.44,-1006.567,6.115,112.28399999999999,288.032,2038.315,-94.93,-114.81700000000001,-91.175,-235.00400000000002,-55.571000000000005,12.363,-106.695,33.075,130.19299999999998,0.9840000000000001,S_0010,P22505_BGLB_PAEPO
6,SCORE:,9257.665,10053.225,277.26099999999997,-0.877,-2466.436,543.677,-871.8939999999999,5.86,90.12799999999999,261.431,1734.175,-87.56700000000001,-77.734,-44.083,-231.81900000000002,-52.705,16.293,-73.156,39.419000000000004,142.013,0.455,S_0007,A0A0D3CKP2_BRAOL
8,SCORE:,9402.828000000001,10646.194,266.082,1.022,-3055.188,651.568,-1063.798,6.282,110.182,305.33799999999997,2092.089,-101.044,-108.292,-86.785,-243.632,-59.223,7.066,-102.958,-17.986,154.648,1.262,S_0009,A0A089PP77_PLUGE
8,SCORE:,8859.582,9771.84,334.7,0.0,-2706.145,536.992,-955.073,5.656000000000001,96.265,296.432,1846.912,-74.66199999999999,-108.117,-78.696,-240.74400000000003,-44.931999999999995,23.851999999999997,-99.646,72.529,181.695,0.722,S_0009,D5AU75_RHOCB
7,SCORE:,8857.011,9924.961,325.70799999999997,0.0,-3025.43,674.6519999999999,-1095.139,6.308,113.71,314.113,2182.549,-102.223,-113.241,-99.912,-252.68900000000002,-66.074,10.481,-88.869,13.673,133.20600000000002,1.228,S_0008,E1QZI4_OLSUV
9,SCORE:,7475.743,8808.396999999999,295.769,0.0,-3045.275,656.055,-1154.204,5.888999999999999,114.62799999999999,284.103,2184.519,-118.891,-116.435,-102.55,-251.832,-52.923,8.802,-113.113,-24.516,96.079,1.2429999999999999,S_0010,K0J0B8_AMPXN
3,SCORE:,9248.454,10261.26,364.73800000000006,0.0,-2918.232,579.575,-1082.7160000000001,5.808,112.478,315.365,2085.419,-82.26899999999999,-116.86399999999999,-104.274,-245.18200000000002,-52.916000000000004,29.588,-103.861,59.168,140.444,0.924,S_0004,D7AXP9_NOCDD
8,SCORE:,9205.131,10148.364,367.38300000000004,0.0,-3082.474,722.431,-1095.688,7.862,119.444,356.55300000000005,2210.374,-97.12,-111.12700000000001,-95.49,-242.34799999999998,-52.192,28.221999999999998,-97.255,11.409,105.765,1.018,S_0009,D9QZV5_CLOSW
4,SCORE:,9362.360999999999,10146.835,483.99,0.7120000000000001,-3174.9190000000003,709.446,-1118.185,8.087,123.456,369.44,2298.822,-95.266,-117.79,-78.702,-265.131,-64.047,46.773,-89.426,61.636,116.29799999999999,0.33299999999999996,S_0005,A8XRL1_CAEBR
3,SCORE:,9689.335,10982.503999999999,303.16700000000003,0.0,-3167.736,681.45,-1235.344,6.419,121.65100000000001,326.618,2328.533,-115.51700000000001,-119.93700000000001,-116.689,-249.563,-59.255,6.8389999999999995,-126.98299999999999,33.749,87.24700000000001,2.185,S_0004,B8M2Y0_TALSN
5,SCORE:,9548.017,10826.251,272.564,0.0,-3064.2059999999997,663.919,-1118.225,6.225,114.78200000000001,309.358,2144.906,-103.15,-109.323,-104.85,-249.483,-53.876000000000005,13.548,-107.82600000000001,-18.503,125.074,0.833,S_0006,Q037S2_LACC3
5,SCORE:,7569.394,8573.278,345.26099999999997,0.0,-3003.44,699.564,-1115.5430000000001,7.562,119.493,316.774,2151.743,-82.88,-119.948,-87.605,-238.77900000000002,-55.88,29.294,-93.978,8.009,115.50200000000001,0.9670000000000001,S_0006,X2H6V1_9GAMM
5,SCORE:,16241.55,17110.215,425.52099999999996,-0.8220000000000001,-3103.232,684.993,-1057.734,7.3389999999999995,118.055,351.671,2180.264,-100.411,-104.852,-74.268,-274.139,-64.882,33.328,-86.851,36.281,159.616,1.4580000000000002,S_0006,H9JXC6_BOMMO
7,SCORE:,6198.491999999999,7213.738,341.358,0.0,-2880.426,602.415,-1056.976,6.439,103.976,317.534,2042.65,-89.611,-114.211,-86.66799999999999,-242.03400000000002,-59.571999999999996,6.606,-93.208,23.524,161.482,1.476,S_0008,A6TBM4_KLEP7
9,SCORE:,3124.673,4220.807,288.033,0.0,-3040.94,706.438,-1092.675,7.388999999999999,120.859,344.80199999999996,2145.283,-99.758,-113.35799999999999,-86.14200000000001,-252.96400000000003,-50.397,8.645,-96.56200000000001,16.67,97.102,1.442,S_0010,R3W4R8_9ENTE
8,SCORE:,15966.005,16991.756999999998,419.273,0.0,-3145.195,693.4889999999999,-1153.722,6.649,121.325,339.815,2230.757,-102.958,-127.28,-80.729,-249.662,-65.321,29.366999999999997,-98.87299999999999,53.0,103.495,0.8190000000000001,S_0009,M4F2P8_BRARP
7,SCORE:,10182.530999999999,11383.978000000001,346.126,-0.24100000000000002,-3274.103,684.125,-1211.835,7.372999999999999,122.041,347.936,2312.402,-110.814,-127.429,-97.221,-265.55400000000003,-54.474,15.512,-104.195,47.673,160.165,1.067,S_0008,BGL30_ORYSJ
1,SCORE:,8296.173,9298.863000000001,403.384,0.0,-3152.3140000000003,652.396,-1096.6580000000001,7.7,115.573,350.92,2216.812,-108.16799999999999,-103.889,-91.264,-270.485,-60.47,22.078000000000003,-99.069,77.676,131.672,1.415,S_0002,Q4WL68_ASPFU
3,SCORE:,7248.048000000001,8188.379,258.61400000000003,-1.0070000000000001,-2674.3190000000004,589.653,-939.503,6.032,94.988,290.84,1860.221,-80.293,-101.90899999999999,-62.998000000000005,-236.41299999999998,-54.06399999999999,7.691,-88.676,46.858999999999995,142.803,1.151,S_0004,W5BR42_WHEAT
0,SCORE:,9230.315999999999,10360.211,301.553,0.0,-3019.653,687.927,-1128.25,6.785,117.539,308.388,2180.279,-116.395,-109.62799999999999,-84.939,-250.675,-57.589,11.925,-95.24,7.744,109.45700000000001,0.877,S_0001,V4QXB4_STRIN
5,SCORE:,9289.829,10564.463,288.66200000000003,0.0,-3087.7529999999997,690.992,-1096.848,6.767,114.00399999999999,309.069,2123.107,-109.541,-107.69200000000001,-91.365,-248.463,-53.062,12.398,-111.04299999999999,-39.294000000000004,124.26,1.169,S_0006,A8GER1_SERP5
0,SCORE:,8963.308,9911.713,314.522,0.0,-2733.737,555.894,-986.235,5.577000000000001,96.809,293.513,1933.888,-78.17399999999999,-113.88,-76.319,-230.875,-49.49,16.715,-100.917,34.759,168.46599999999998,1.081,S_0001,I7EUV9_PHAIB
1,SCORE:,8330.819,9224.169,367.964,0.0,-2810.58,579.811,-999.51,6.1,105.728,330.251,1960.9479999999999,-78.017,-126.90299999999999,-82.427,-230.805,-55.618,14.245999999999999,-93.671,77.553,139.46,2.12,S_0002,L0DCM3_SINAD
5,SCORE:,8901.357,9727.962,407.798,0.0,-2915.63,632.851,-1030.8980000000001,6.31,115.94,342.235,2075.266,-75.693,-115.241,-83.97399999999999,-235.454,-54.181999999999995,25.698,-104.426,58.32,123.12899999999999,1.347,S_0006,R5TRK9_9CLOT
8,SCORE:,12323.892,12984.141000000001,442.026,0.0,-2886.7790000000005,669.956,-998.57,7.817,116.38,362.092,2067.0170000000003,-79.926,-107.34,-81.15,-244.15099999999998,-54.426,43.428999999999995,-76.623,75.577,83.61200000000001,0.809,S_0009,A2F8L5_TRIVA
